63;60-64;60-69;60-79;*
57;55-59;50-59;40-59;*
34;30-34;30-39;20-39;*
11;10-14;10-19;0-19;*
25;25-29;20-29;20-39;*
40;40-44;40-49;40-59;*
21;20-24;20-29;20-39;*
52;50-54;50-59;40-59;*
84;80-84;80-89;80-99;*
56;55-59;50-59;40-59;*
49;45-49;40-49;40-59;*
18;15-19;10-19;0-19;*
85;85-89;80-89;80-99;*
58;55-59;50-59;40-59;*
71;70-74;70-79;60-79;*
44;40-44;40-49;40-59;*
55;55-59;50-59;40-59;*
69;65-69;60-69;60-79;*
59;55-59;50-59;40-59;*
51;50-54;50-59;40-59;*
38;35-39;30-39;20-39;*
23;20-24;20-29;20-39;*
36;35-39;30-39;20-39;*
50;50-54;50-59;40-59;*
66;65-69;60-69;60-79;*
19;15-19;10-19;0-19;*
16;15-19;10-19;0-19;*
72;70-74;70-79;60-79;*
62;60-64;60-69;60-79;*
28;25-29;20-29;20-39;*
65;65-69;60-69;60-79;*
26;25-29;20-29;20-39;*
61;60-64;60-69;60-79;*
20;20-24;20-29;20-39;*
33;30-34;30-39;20-39;*
54;50-54;50-59;40-59;*
47;45-49;40-49;40-59;*
39;35-39;30-39;20-39;*
43;40-44;40-49;40-59;*
91;90-94;90-99;80-99;*
3;0-4;0-9;0-19;*
64;60-64;60-69;60-79;*
86;85-89;80-89;80-99;*
45;45-49;40-49;40-59;*
42;40-44;40-49;40-59;*
31;30-34;30-39;20-39;*
82;80-84;80-89;80-99;*
37;35-39;30-39;20-39;*
12;10-14;10-19;0-19;*
60;60-64;60-69;60-79;*
74;70-74;70-79;60-79;*
24;20-24;20-29;20-39;*
88;85-89;80-89;80-99;*
5;5-9;0-9;0-19;*
10;10-14;10-19;0-19;*
1;0-4;0-9;0-19;*
46;45-49;40-49;40-59;*
35;35-39;30-39;20-39;*
80;80-84;80-89;80-99;*
67;65-69;60-69;60-79;*
75;75-79;70-79;60-79;*
78;75-79;70-79;60-79;*
13;10-14;10-19;0-19;*
68;65-69;60-69;60-79;*
17;15-19;10-19;0-19;*
53;50-54;50-59;40-59;*
92;90-94;90-99;80-99;*
30;30-34;30-39;20-39;*
76;75-79;70-79;60-79;*
89;85-89;80-89;80-99;*
77;75-79;70-79;60-79;*
27;25-29;20-29;20-39;*
81;80-84;80-89;80-99;*
41;40-44;40-49;40-59;*
29;25-29;20-29;20-39;*
97;95-99;90-99;80-99;*
73;70-74;70-79;60-79;*
14;10-14;10-19;0-19;*
6;5-9;0-9;0-19;*
15;15-19;10-19;0-19;*
70;70-74;70-79;60-79;*
8;5-9;0-9;0-19;*
7;5-9;0-9;0-19;*
22;20-24;20-29;20-39;*
32;30-34;30-39;20-39;*
93;90-94;90-99;80-99;*
2;0-4;0-9;0-19;*
83;80-84;80-89;80-99;*
48;45-49;40-49;40-59;*
4;0-4;0-9;0-19;*
100;95-99;90-99;80-99;*
79;75-79;70-79;60-79;*
9;5-9;0-9;0-19;*
95;95-99;90-99;80-99;*
87;85-89;80-89;80-99;*
98;95-99;90-99;80-99;*
