16;15-19;10-19;0-19;*
1;0-4;0-9;0-19;*
10;10-14;10-19;0-19;*
32;30-34;30-39;20-39;*
85;85-89;80-89;80-99;*
89;85-89;80-89;80-99;*
48;45-49;40-49;40-59;*
30;30-34;30-39;20-39;*
31;30-34;30-39;20-39;*
100;95-99;90-99;80-99;*
40;40-44;40-49;40-59;*
50;50-54;50-59;40-59;*
33;30-34;30-39;20-39;*
3;0-4;0-9;0-19;*
70;70-74;70-79;60-79;*
18;15-19;10-19;0-19;*
84;80-84;80-89;80-99;*
27;25-29;20-29;20-39;*
46;45-49;40-49;40-59;*
7;5-9;0-9;0-19;*
69;65-69;60-69;60-79;*
5;5-9;0-9;0-19;*
67;65-69;60-69;60-79;*
99;95-99;90-99;80-99;*
90;90-94;90-99;80-99;*
65;65-69;60-69;60-79;*
79;75-79;70-79;60-79;*
37;35-39;30-39;20-39;*
55;55-59;50-59;40-59;*
41;40-44;40-49;40-59;*
35;35-39;30-39;20-39;*
93;90-94;90-99;80-99;*
34;30-34;30-39;20-39;*
39;35-39;30-39;20-39;*
22;20-24;20-29;20-39;*
14;10-14;10-19;0-19;*
81;80-84;80-89;80-99;*
21;20-24;20-29;20-39;*
78;75-79;70-79;60-79;*
36;35-39;30-39;20-39;*
51;50-54;50-59;40-59;*
9;5-9;0-9;0-19;*
59;55-59;50-59;40-59;*
68;65-69;60-69;60-79;*
11;10-14;10-19;0-19;*
61;60-64;60-69;60-79;*
73;70-74;70-79;60-79;*
88;85-89;80-89;80-99;*
53;50-54;50-59;40-59;*
49;45-49;40-49;40-59;*
74;70-74;70-79;60-79;*
71;70-74;70-79;60-79;*
28;25-29;20-29;20-39;*
63;60-64;60-69;60-79;*
94;90-94;90-99;80-99;*
75;75-79;70-79;60-79;*
38;35-39;30-39;20-39;*
4;0-4;0-9;0-19;*
82;80-84;80-89;80-99;*
92;90-94;90-99;80-99;*
20;20-24;20-29;20-39;*
43;40-44;40-49;40-59;*
58;55-59;50-59;40-59;*
66;65-69;60-69;60-79;*
23;20-24;20-29;20-39;*
97;95-99;90-99;80-99;*
42;40-44;40-49;40-59;*
56;55-59;50-59;40-59;*
6;5-9;0-9;0-19;*
52;50-54;50-59;40-59;*
62;60-64;60-69;60-79;*
45;45-49;40-49;40-59;*
91;90-94;90-99;80-99;*
2;0-4;0-9;0-19;*
8;5-9;0-9;0-19;*
72;70-74;70-79;60-79;*
83;80-84;80-89;80-99;*
95;95-99;90-99;80-99;*
87;85-89;80-89;80-99;*
29;25-29;20-29;20-39;*
13;10-14;10-19;0-19;*
15;15-19;10-19;0-19;*
47;45-49;40-49;40-59;*
19;15-19;10-19;0-19;*
98;95-99;90-99;80-99;*
80;80-84;80-89;80-99;*
54;50-54;50-59;40-59;*
12;10-14;10-19;0-19;*
60;60-64;60-69;60-79;*
77;75-79;70-79;60-79;*
64;60-64;60-69;60-79;*
76;75-79;70-79;60-79;*
24;20-24;20-29;20-39;*
96;95-99;90-99;80-99;*
25;25-29;20-29;20-39;*
86;85-89;80-89;80-99;*
57;55-59;50-59;40-59;*
26;25-29;20-29;20-39;*
44;40-44;40-49;40-59;*
17;15-19;10-19;0-19;*
