Greece;Europe;*
United-States;North America;*
Hungary;Europe;*
Poland;Europe;*
Portugal;Europe;*
Trinadad&Tobago;North America;*
Hong;Asia;*
Canada;Nord America;*
Scotland;Europa;*
Philippines;Southeast Asia;*
Haiti;Caribbean;*
Cambodia;Southeast Asia;*
Jamaica;America;*
Thailand;Asia;*
Yugoslavia;Europa;*
Cuba;America Centrale;*
Dominican-Republic;America Centrale;*
Ecuador;America del Sud;*
India;Asia;*
Germany;Europa;*
Columbia;Sud America;*
Peru;South America;*
Italy;Southern Europe;*
Iran;Western Asia;*
Holand-Netherlands;Europe;*
El-Salvador;North America;*
Nicaragua;North America;*
Vietnam;Asia;*
Outlying-US(Guam-USVI-etc);Stati Uniti;*
South;Stati Uniti;*
Puerto-Rico;America;*
Honduras;America;*
Ireland;Europa;*
France;Europe;*
Japan;Asia;*
Guatemala;North America;*
Taiwan;Asia;*
China;Asia;*
