USA;North America;*
South;South America;*
Ecuador;South America;*
Greece;Europe;*
Canada;North America;*
Philippines;Asia;*
Haiti;Caribbean;*
Germany;Western Europe;*
Nicaragua;Central America;*
Poland;Europa;*
Mexico;America del Nord;*
Vietnam;Asia;*
Jamaica;America;*
Hong;Asia;*
Yugoslavia;Europa;*
India;Asia;*
Honduras;Americas;*
France;Europe;*
Dominican-Republic;Caribbean;*
Laos;Southeast Asia;*
Trinadad&Tobago;Caribbean;*
Thailand;Asia;*
Italy;Europa;*
El-Salvador;America Centrale;*
Scotland;Europe;*
Iran;Asia;*
Cambodia;Asia;*
England;Europe;*
Cuba;North America;*
Holand-Netherlands;Europe;*
Puerto-Rico;America;*
Outlying-US(Guam-USVI-etc);America;*
China;Asia;*
Portugal;Europa;*
Peru;Sud America;*
Hungary;Europa;*
Taiwan;Asia;*
Guatemala;America Centrale;*
Columbia;America del Sud;*
United-States;North America;*
Japan;East Asia;*
Ireland;Northern Europe;*
