native_exponential,native_uniform_bias,eta_45_normal,eta_exponential5,eta_70_normal,native_uniform,native_exponential_bias,eta_uniform5,native_normal
Asia,*,*,*,*,America del Sud,Europe,*,America
Europe,*,*,*,*,Asia,Europe,*,America
Asia,*,*,*,*,America del Sud,North America,*,America
America,*,*,*,*,Africa,Europe,*,America
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Europa,Europe,*,America
America,*,*,*,*,America del Sud,Europe,*,America
Asia,*,*,*,*,America Centrale,Europe,*,America
Europa,*,*,*,*,America Centrale,Nord America,*,Asia
Europa,*,*,*,*,America del Sud,Asia,*,Europe
Asia,*,*,*,*,Europa dell'Est,Nord America,*,America
Europe,*,*,*,*,America Centrale,Europe,*,America
Europe,*,*,*,*,America Centrale,Europa,*,America
Europa,*,*,*,*,Asia,Nord America,*,America
America,*,*,*,*,America del Sud,Southeast Asia,*,America
Europa,*,*,*,*,Asia,Southeast Asia,*,America
Asia,*,*,*,*,Europe,Nord America,*,America
Europa,*,*,*,*,North America,Caribbean,*,America
Asia,*,*,*,*,Europa dell'Est,Asia,*,America
Europa,*,*,*,*,Asia,Asia,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,America Centrale,Nord America,*,Asia
Asia,*,*,*,*,Asia,North America,*,America
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,Europe,Europa,*,America
*,*,*,*,*,*,*,*,*
Asia Orientale,*,*,*,*,Middle East,America Centrale,*,Europe
Asia,*,*,*,*,Western Europe,America del Sud,*,America
Europe,*,*,*,*,South America,North America,*,America
Asia,*,*,*,*,Europe,America Centrale,*,Europa
America,*,*,*,*,Europe,Nord America,*,Europa
North America,*,*,*,*,Africa,Nord America,*,America
Asia,*,*,*,*,America del Sud,Asia,*,America
North America,*,*,*,*,Asia,Asia,*,America
North America,*,*,*,*,North America,Europa,*,America
Europe,*,*,*,*,North America,Asia,*,America
America,*,*,*,*,Europe,Nord America,*,Europa
Asia,*,*,*,*,America,Europe,*,America Centrale
America del Sud,*,*,*,*,America,Europa,*,America
America del Nord,*,*,*,*,North America,Sud America,*,Central-America
Europa,*,*,*,*,Europe,America Centrale,*,America
Europa,*,*,*,*,Asia,Sud America,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,Middle East,Asia,*,America
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,Asia,South America,*,Europe
Europe,*,*,*,*,America,Western Asia,*,America
Asia,*,*,*,*,Europe,Europe,*,Europe
Europa,*,*,*,*,Asia,Southern Europe,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,America Centrale,Asia,*,America
America Centrale,*,*,*,*,Europa,Asia,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,North America,North America,*,Europe
America Centrale,*,*,*,*,Europa,America del Sud,*,America
Asia,*,*,*,*,America del Sud,Asia,*,America
Europe,*,*,*,*,Asia,Southeast Asia,*,America
America Centrale,*,*,*,*,North America,America Centrale,*,Asia
Europe,*,*,*,*,Europa,North America,*,America
Europa,*,*,*,*,Europa,North America,*,America
America,*,*,*,*,America del Sud,Europe,*,Asia
Europa,*,*,*,*,North-America,Nord America,*,America
Europe,*,*,*,*,Europe,Europe,*,America
America,*,*,*,*,Europe,North America,*,America
Asia,*,*,*,*,Europe,Nord America,*,America
Europe,*,*,*,*,North-America,South America,*,US
North America,*,*,*,*,Asia,America Centrale,*,America
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Asia,America del Sud,*,US
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,Europe,North America,*,America
Europe,*,*,*,*,South America,North America,*,America
Europe,*,*,*,*,Regno Unito,Sud America,*,America
Europe,*,*,*,*,Europe,America del Sud,*,Southern-Europe
Asia,*,*,*,*,America del Sud,Asia,*,America
Europe,*,*,*,*,America,North America,*,America Centrale
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Sud-est asiatico,North America,*,Asia
*,*,*,*,*,*,*,*,*
Asia,*,*,*,*,America Centrale,Nord America,*,America
Europe,*,*,*,*,North-America,South America,*,Europe
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,North-America,America del Sud,*,America
America,*,*,*,*,America Centrale,Europe,*,America
America,*,*,*,*,Sud-est asiatico,America del Sud,*,America
North America,*,*,*,*,North America,Europa,*,America
America Centrale,*,*,*,*,America Centrale,Nord America,*,America
America,*,*,*,*,North America,Europe,*,America
Europa,*,*,*,*,Sud-est asiatico,North America,*,Asia
Europe,*,*,*,*,Europa,Southern Europe,*,Europe
Asia,*,*,*,*,Europe,Europe,*,Europe
Europe,*,*,*,*,America,Europa,*,America
America del Nord,*,*,*,*,Sud-est asiatico,Europa,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,America del Sud,Asia,*,Europe
America del Nord,*,*,*,*,Sud-est asiatico,North America,*,America
Asia,*,*,*,*,America del Sud,North America,*,America
Asia,*,*,*,*,Asia,America del Sud,*,America
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Europe,America Centrale,*,Europe
America,*,*,*,*,Asia,Europe,*,South America
Europe,*,*,*,*,Africa,Europa,*,Europe
North America,*,*,*,*,Europa,Nord America,*,America
Sud-est asiatico,*,*,*,*,America,Southeast Asia,*,Europe
*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,Europa dell'Est,Europe,*,America
America Centrale,*,*,*,*,Europa,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
North America,*,*,*,*,North America,Southeast Asia,*,America
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,Asia,Europe,*,America
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,South America,Stati Uniti,*,America
Asia,*,*,*,*,Europa,South America,*,Europe
Europa,*,*,*,*,Asia,Nord America,*,America
Europa,*,*,*,*,Europe,Southeast Asia,*,America
Asia,*,*,*,*,Europa dell'Est,Asia,*,America
*,*,*,*,*,*,*,*,*
Europe,*,*,*,*,North America,Europa,*,America
America del Sud,*,*,*,*,Europe,Europe,*,Europe
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Asia,Nord America,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,North America,Asia,*,America
North America,*,*,*,*,Regno Unito,Stati Uniti,*,America
Asia,*,*,*,*,Europe,Asia,*,America
Europa,*,*,*,*,Europa,Asia,*,America
Europa,*,*,*,*,North-America,Nord America,*,America
Asia,*,*,*,*,America,America Centrale,*,America
North America,*,*,*,*,Regno Unito,Stati Uniti,*,America
Europa,*,*,*,*,America Centrale,Southeast Asia,*,Europa
North America,*,*,*,*,Europe,Europa,*,America
America,*,*,*,*,America del Sud,Southeast Asia,*,America
Asia,*,*,*,*,North America,Europe,*,America
*,*,*,*,*,*,*,*,*
Europa,*,*,*,*,Europe,Europe,*,Europe
Asia,*,*,*,*,America del Sud,America Centrale,*,US
Europe,*,*,*,*,Europe,Europe,*,America
Asia,*,*,*,*,Middle East,North America,*,Central-America
Europa,*,*,*,*,America Centrale,North America,*,America
Asia,*,*,*,*,Europe,Southeast Asia,*,Asia
America Centrale,*,*,*,*,Asia,America Centrale,*,America
America Centrale,*,*,*,*,America Centrale,Europa,*,America Centrale
*,*,*,*,*,*,*,*,*
America,*,*,*,*,Europa,Caribbean,*,America
Asia,*,*,*,*,Europe,Europe,*,Europe
*,*,*,*,*,*,*,*,*
America Centrale,*,*,*,*,Europa dell'Est,Europe,*,America
Europe,*,*,*,*,Oceania,North America,*,America
Europe,*,*,*,*,America Centrale,Europa,*,America
